Epoch 115, current loss (training) 0.0147, current loss (val) 0.0156
Epoch 116, current loss (training) 0.0154, current loss (val) 0.0154
Epoch 117, current loss (training) 0.0153, current loss (val) 0.0157
Epoch 118, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 119, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 120, current loss (training) 0.0160, current loss (val) 0.0167
Epoch 121, current loss (training) 0.0155, current loss (val) 0.0155
Epoch 122, current loss (training) 0.0152, current loss (val) 0.0158
Epoch 123, current loss (training) 0.0160, current loss (val) 0.0167
Epoch 124, current loss (training) 0.0153, current loss (val) 0.0159
Epoch 125, current loss (training) 0.0150, current loss (val) 0.0156
Epoch 126, current loss (training) 0.0163, current loss (val) 0.0165
Epoch 127, current loss (training) 0.0148, current loss (val) 0.0158
Epoch 128, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 129, current loss (training) 0.0157, current loss (val) 0.0159
Epoch 130, current loss (training) 0.0148, current loss (val) 0.0157
Epoch 131, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 132, current loss (training) 0.0156, current loss (val) 0.0163
Epoch 133, current loss (training) 0.0148, current loss (val) 0.0157
Epoch 134, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 135, current loss (training) 0.0150, current loss (val) 0.0157
Epoch 136, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 137, current loss (training) 0.0147, current loss (val) 0.0154
Epoch 138, current loss (training) 0.0157, current loss (val) 0.0162
Epoch 139, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 140, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 141, current loss (training) 0.0157, current loss (val) 0.0160
Epoch 142, current loss (training) 0.0154, current loss (val) 0.0158
Epoch 143, current loss (training) 0.0150, current loss (val) 0.0156
Epoch 144, current loss (training) 0.0156, current loss (val) 0.0153
Epoch 145, current loss (training) 0.0147, current loss (val) 0.0154
Epoch 146, current loss (training) 0.0157, current loss (val) 0.0161
Epoch 147, current loss (training) 0.0145, current loss (val) 0.0157
Epoch 148, current loss (training) 0.0150, current loss (val) 0.0160
Epoch 149, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 150, current loss (training) 0.0155, current loss (val) 0.0158
Epoch 151, current loss (training) 0.0155, current loss (val) 0.0157
Epoch 152, current loss (training) 0.0151, current loss (val) 0.0158
Epoch 153, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 154, current loss (training) 0.0159, current loss (val) 0.0164
Epoch 155, current loss (training) 0.0162, current loss (val) 0.0164
Epoch 156, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 157, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 158, current loss (training) 0.0153, current loss (val) 0.0161
Epoch 159, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 160, current loss (training) 0.0151, current loss (val) 0.0154
Epoch 161, current loss (training) 0.0156, current loss (val) 0.0158
Epoch 162, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 163, current loss (training) 0.0155, current loss (val) 0.0157
Epoch 164, current loss (training) 0.0155, current loss (val) 0.0156
Epoch 165, current loss (training) 0.0157, current loss (val) 0.0159
Epoch 166, current loss (training) 0.0147, current loss (val) 0.0156
Epoch 167, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 168, current loss (training) 0.0160, current loss (val) 0.0158
Epoch 169, current loss (training) 0.0156, current loss (val) 0.0157
Epoch 170, current loss (training) 0.0152, current loss (val) 0.0154
Epoch 171, current loss (training) 0.0166, current loss (val) 0.0167
Epoch 172, current loss (training) 0.0160, current loss (val) 0.0161
Epoch 173, current loss (training) 0.0142, current loss (val) 0.0155
Epoch 174, current loss (training) 0.0150, current loss (val) 0.0152
Epoch 175, current loss (training) 0.0152, current loss (val) 0.0157
Epoch 176, current loss (training) 0.0150, current loss (val) 0.0156
Epoch 177, current loss (training) 0.0152, current loss (val) 0.0153
Epoch 178, current loss (training) 0.0152, current loss (val) 0.0155
Epoch 179, current loss (training) 0.0155, current loss (val) 0.0154
Epoch 180, current loss (training) 0.0156, current loss (val) 0.0161
Epoch 181, current loss (training) 0.0153, current loss (val) 0.0160
Epoch 182, current loss (training) 0.0151, current loss (val) 0.0155
Epoch 183, current loss (training) 0.0146, current loss (val) 0.0153
Epoch 184, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 185, current loss (training) 0.0153, current loss (val) 0.0156
Epoch 186, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 187, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 188, current loss (training) 0.0151, current loss (val) 0.0152
Epoch 189, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 190, current loss (training) 0.0153, current loss (val) 0.0153
Epoch 191, current loss (training) 0.0152, current loss (val) 0.0151
Epoch 192, current loss (training) 0.0157, current loss (val) 0.0158
Epoch 193, current loss (training) 0.0152, current loss (val) 0.0153
Epoch 194, current loss (training) 0.0161, current loss (val) 0.0163
Epoch 195, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 196, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 197, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 198, current loss (training) 0.0152, current loss (val) 0.0154
Epoch 199, current loss (training) 0.0143, current loss (val) 0.0155
Epoch 200, current loss (training) 0.0152, current loss (val) 0.0153
Epoch 201, current loss (training) 0.0151, current loss (val) 0.0160
Epoch 202, current loss (training) 0.0147, current loss (val) 0.0152
Epoch 203, current loss (training) 0.0152, current loss (val) 0.0161
Epoch 204, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 205, current loss (training) 0.0146, current loss (val) 0.0154
Epoch 206, current loss (training) 0.0172, current loss (val) 0.0171
Epoch 207, current loss (training) 0.0154, current loss (val) 0.0154
Epoch 208, current loss (training) 0.0157, current loss (val) 0.0162
Epoch 209, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 210, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 211, current loss (training) 0.0162, current loss (val) 0.0160
Epoch 212, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 213, current loss (training) 0.0154, current loss (val) 0.0158
Epoch 214, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 215, current loss (training) 0.0142, current loss (val) 0.0156
Epoch 216, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 217, current loss (training) 0.0160, current loss (val) 0.0157
Epoch 218, current loss (training) 0.0150, current loss (val) 0.0157
Epoch 219, current loss (training) 0.0151, current loss (val) 0.0157
Epoch 220, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 221, current loss (training) 0.0149, current loss (val) 0.0152
Epoch 222, current loss (training) 0.0158, current loss (val) 0.0161
Epoch 223, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 224, current loss (training) 0.0158, current loss (val) 0.0161
Epoch 225, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 226, current loss (training) 0.0155, current loss (val) 0.0157
Epoch 227, current loss (training) 0.0155, current loss (val) 0.0158
Epoch 228, current loss (training) 0.0153, current loss (val) 0.0157
Epoch 229, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 230, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 231, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 232, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 233, current loss (training) 0.0152, current loss (val) 0.0155
Epoch 234, current loss (training) 0.0155, current loss (val) 0.0157
Epoch 235, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 236, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 237, current loss (training) 0.0152, current loss (val) 0.0155
Epoch 238, current loss (training) 0.0158, current loss (val) 0.0157
Epoch 239, current loss (training) 0.0151, current loss (val) 0.0153
Epoch 240, current loss (training) 0.0151, current loss (val) 0.0159
Epoch 241, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 242, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 243, current loss (training) 0.0148, current loss (val) 0.0152
Epoch 244, current loss (training) 0.0153, current loss (val) 0.0156
Epoch 245, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 246, current loss (training) 0.0148, current loss (val) 0.0154
Epoch 247, current loss (training) 0.0152, current loss (val) 0.0157
Epoch 248, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 249, current loss (training) 0.0159, current loss (val) 0.0162
Epoch 250, current loss (training) 0.0152, current loss (val) 0.0155
Epoch 251, current loss (training) 0.0145, current loss (val) 0.0152
Epoch 252, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 253, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 254, current loss (training) 0.0145, current loss (val) 0.0152
Epoch 255, current loss (training) 0.0146, current loss (val) 0.0152
Epoch 256, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 257, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 258, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 259, current loss (training) 0.0146, current loss (val) 0.0154
Epoch 260, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 261, current loss (training) 0.0143, current loss (val) 0.0152
Epoch 262, current loss (training) 0.0157, current loss (val) 0.0162
Epoch 263, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 264, current loss (training) 0.0148, current loss (val) 0.0154
Epoch 265, current loss (training) 0.0147, current loss (val) 0.0152
Epoch 266, current loss (training) 0.0151, current loss (val) 0.0157
Epoch 267, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 268, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 269, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 270, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 271, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 272, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 273, current loss (training) 0.0158, current loss (val) 0.0161
Epoch 274, current loss (training) 0.0154, current loss (val) 0.0155
Epoch 275, current loss (training) 0.0154, current loss (val) 0.0157
Epoch 276, current loss (training) 0.0148, current loss (val) 0.0154
Epoch 277, current loss (training) 0.0150, current loss (val) 0.0151
Epoch 278, current loss (training) 0.0145, current loss (val) 0.0153
Epoch 279, current loss (training) 0.0145, current loss (val) 0.0152
Epoch 280, current loss (training) 0.0145, current loss (val) 0.0152
Epoch 281, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 282, current loss (training) 0.0150, current loss (val) 0.0157
Epoch 283, current loss (training) 0.0148, current loss (val) 0.0154
Epoch 284, current loss (training) 0.0144, current loss (val) 0.0152
Epoch 285, current loss (training) 0.0146, current loss (val) 0.0154
Epoch 286, current loss (training) 0.0152, current loss (val) 0.0158
Epoch 287, current loss (training) 0.0143, current loss (val) 0.0152
Epoch 288, current loss (training) 0.0151, current loss (val) 0.0157
Epoch 289, current loss (training) 0.0149, current loss (val) 0.0156
Epoch 290, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 291, current loss (training) 0.0156, current loss (val) 0.0159
Epoch 292, current loss (training) 0.0146, current loss (val) 0.0152
Epoch 293, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 294, current loss (training) 0.0150, current loss (val) 0.0157
Epoch 295, current loss (training) 0.0146, current loss (val) 0.0152
Epoch 296, current loss (training) 0.0150, current loss (val) 0.0157
Epoch 297, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 298, current loss (training) 0.0151, current loss (val) 0.0154
Epoch 299, current loss (training) 0.0151, current loss (val) 0.0158
Epoch 300, current loss (training) 0.0148, current loss (val) 0.0153
Epoch 301, current loss (training) 0.0153, current loss (val) 0.0161
Epoch 302, current loss (training) 0.0141, current loss (val) 0.0152
Epoch 303, current loss (training) 0.0146, current loss (val) 0.0153
Epoch 304, current loss (training) 0.0154, current loss (val) 0.0159
Epoch 305, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 306, current loss (training) 0.0146, current loss (val) 0.0153
Epoch 307, current loss (training) 0.0149, current loss (val) 0.0152
Epoch 308, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 309, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 310, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 311, current loss (training) 0.0146, current loss (val) 0.0153
Epoch 312, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 313, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 314, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 315, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 316, current loss (training) 0.0153, current loss (val) 0.0161
Epoch 317, current loss (training) 0.0144, current loss (val) 0.0153
Epoch 318, current loss (training) 0.0144, current loss (val) 0.0156
Epoch 319, current loss (training) 0.0152, current loss (val) 0.0158
Epoch 320, current loss (training) 0.0138, current loss (val) 0.0153
Epoch 321, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 322, current loss (training) 0.0148, current loss (val) 0.0156
Epoch 323, current loss (training) 0.0145, current loss (val) 0.0154
Epoch 324, current loss (training) 0.0143, current loss (val) 0.0153
Epoch 325, current loss (training) 0.0148, current loss (val) 0.0152
Epoch 326, current loss (training) 0.0146, current loss (val) 0.0155
Epoch 327, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 328, current loss (training) 0.0151, current loss (val) 0.0159
Epoch 329, current loss (training) 0.0149, current loss (val) 0.0154
Epoch 330, current loss (training) 0.0146, current loss (val) 0.0154
Epoch 331, current loss (training) 0.0149, current loss (val) 0.0153
Epoch 332, current loss (training) 0.0157, current loss (val) 0.0160
Epoch 333, current loss (training) 0.0151, current loss (val) 0.0155
Epoch 334, current loss (training) 0.0144, current loss (val) 0.0154
Epoch 335, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 336, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 337, current loss (training) 0.0148, current loss (val) 0.0155
Epoch 338, current loss (training) 0.0147, current loss (val) 0.0154
Epoch 339, current loss (training) 0.0148, current loss (val) 0.0154
Epoch 340, current loss (training) 0.0147, current loss (val) 0.0153
Epoch 341, current loss (training) 0.0144, current loss (val) 0.0151
Epoch 342, current loss (training) 0.0150, current loss (val) 0.0154
Epoch 343, current loss (training) 0.0149, current loss (val) 0.0155
Epoch 344, current loss (training) 0.0146, current loss (val) 0.0152
Epoch 345, current loss (training) 0.0153, current loss (val) 0.0162
Epoch 346, current loss (training) 0.0149, current loss (val) 0.0154
