Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading AR2 model
Epoch 92, current loss (training) 0.2239, current loss (val) 2.7827, best loss (val) 2.7766 
Epoch 93, current loss (training) 0.2285, current loss (val) 2.7729, best loss (val) 2.7729 
Epoch 94, current loss (training) 0.2126, current loss (val) 2.7701, best loss (val) 2.7701 
Epoch 95, current loss (training) 0.2135, current loss (val) 2.7798, best loss (val) 2.7701 
Epoch 96, current loss (training) 0.2143, current loss (val) 2.7746, best loss (val) 2.7701 
Epoch 97, current loss (training) 0.2122, current loss (val) 2.7684, best loss (val) 2.7684 
Epoch 98, current loss (training) 0.2041, current loss (val) 2.7681, best loss (val) 2.7681 
Epoch 99, current loss (training) 0.2124, current loss (val) 2.7654, best loss (val) 2.7654 
Epoch 100, current loss (training) 0.2009, current loss (val) 2.7615, best loss (val) 2.7615 
Epoch 101, current loss (training) 0.1973, current loss (val) 2.7561, best loss (val) 2.7561 
Epoch 102, current loss (training) 0.1909, current loss (val) 2.7545, best loss (val) 2.7545 
Epoch 103, current loss (training) 0.1904, current loss (val) 2.7498, best loss (val) 2.7498 
Epoch 104, current loss (training) 0.1918, current loss (val) 2.7438, best loss (val) 2.7438 
Epoch 105, current loss (training) 0.1968, current loss (val) 2.7433, best loss (val) 2.7433 
Epoch 106, current loss (training) 0.1858, current loss (val) 2.7423, best loss (val) 2.7423 
Epoch 107, current loss (training) 0.1818, current loss (val) 2.7363, best loss (val) 2.7363 
Epoch 108, current loss (training) 0.1790, current loss (val) 2.7397, best loss (val) 2.7363 
Epoch 109, current loss (training) 0.1803, current loss (val) 2.7346, best loss (val) 2.7346 
Epoch 110, current loss (training) 0.1770, current loss (val) 2.7300, best loss (val) 2.7300 
